;== NAME      RA           Dec        Lon         Lat     DESIGN NVISITS       TYPE SURV PRI  MJD   HA   COMMENTS ==
120+75      193.8819     42.1050    120.0000     75.0000    110 12           halo  N    8  Y1    0.0 ;
210+60      159.5217     24.6866    210.0000     60.0000    110 6           halo  N    8  Y1    0.0    ;
210+60      159.5217     24.6866    210.0000     60.0000    210 6           halo  N    8  Y1    0.0    ;
270+60      177.0831      1.2264    270.0000     60.0000    110 6           halo  N    8  Y1    0.0    ;
270+60      177.0831      1.2264    270.0000     60.0000    210 6           halo  N    8  Y1    0.0    ;
330+60      206.0109     -0.0778    330.0000     60.0000    110 12           halo  N    8  Y1    0.0 ;added
200+45      141.8131     27.5981    200.0000     45.0000    110 12           halo  N    8  Y1    0.0 ;
 090-75        4.5101    -14.3067     90.0000    -75.0000    100 3           halo  N    8  Y1    0.0    ;
 120-60       11.3922      2.8383    120.0000    -60.0000    100 3           halo  N    8  Y1    1.0    ;
 180-60       37.9884     -8.7994    180.0000    -60.0000    100 3           halo  N    8  Y1    0.0    ;
 120-45       10.6822     17.8221    120.0000    -45.0000    100 3           halo  N    8  Y1    0.0    ;
 200-45       57.3526    -10.4625    200.0000    -45.0000    100 3           halo  N    8  Y1    0.0    ;
 075-30      330.6823     16.7635     75.0000    -30.0000    100 3           halo  N    8  Y1    0.0    ;
 105-30      354.8611     30.3525    105.0000    -30.0000    100 3           halo  N    8  Y1    0.0    ;
 TRIAND-2     26.5000     36.5834    134.9932    -25.0071    100 3    halo_stream  N    7  Y1    2.0    ;TriAnd
 PAL5-2      240.4999      6.1666     16.9900     40.1784    110 6    halo_stream  N    8  Y1    0.0    ;Pal5
 GD1-2       131.5000     11.8833    214.9732     30.7529    110 6    halo_stream  N    9  Y1   -1.0 ;GD-1_incl_M67
 GD1-3       138.7500     22.3166    206.0348     40.9815    110 6    halo_stream  N    8  Y1   -1.0    ;GD-1
